instance,formulation,lp_relaxation,obj_value,node_count,solve_time,optimal,num_groupings
instance_01,F1a,6.32,8.0,1,16.09,True,N/A
instance_01,F1b,6.32,8.0,70,120.11,False,N/A
instance_01,F2,7.1833,8.0,1,0.16,True,2573
instance_02,F1a,7.32,9.0,4663,120.06,False,N/A
instance_02,F1b,7.32,9.0,889,120.11,False,N/A
instance_02,F2,7.9206,9.0,1,0.33,True,2809
instance_03,F1a,7.88,9.0,221,46.62,True,N/A
instance_03,F1b,7.88,9.0,334,120.21,False,N/A
instance_03,F2,8.1187,9.0,1,0.61,True,4209
instance_04,F1a,12.84,14.0,1436,120.18,False,N/A
instance_04,F1b,12.84,14.0,1,120.28,False,N/A
instance_04,F2,12.84,13.0,1,1.79,True,13667
instance_05,F1a,12.4,13.0,1,53.04,True,N/A
instance_05,F1b,12.4,14.0,1,128.92,False,N/A
instance_05,F2,12.4,13.0,1,1.55,True,21703
instance_06,F1a,12.88,14.0,381,120.15,False,N/A
instance_06,F1b,12.88,15.0,1,120.33,False,N/A
instance_06,F2,12.88,13.0,1,2.45,True,18516
instance_07,F1a,12.68,14.0,1024,120.16,False,N/A
instance_07,F1b,12.68,15.0,1,120.18,False,N/A
instance_07,F2,12.68,13.0,1,5.7,True,30495
instance_08,F1a,15.36,16.0,1,5.14,True,N/A
instance_08,F1b,15.36,17.0,1,120.21,False,N/A
instance_08,F2,15.36,16.0,1,7.15,True,34906
instance_09,F1a,14.16,15.0,1,16.33,True,N/A
instance_09,F1b,14.16,16.0,1,120.25,False,N/A
instance_09,F2,14.16,15.0,1,2.24,True,42680
instance_10,F1a,14.68,16.0,564,120.17,False,N/A
instance_10,F1b,14.68,17.0,1,120.2,False,N/A
instance_10,F2,14.68,15.0,1,2.13,True,32469
